CODI_I;CODI_S;LONGITUD;LAT;LNG;
"25";"3";"174";"40.8093782843";"0.321170795679";
"25";"4";"262";"40.8066999714";"0.320151847358";
"25";"5";"387";"40.8038283781";"0.318819135051";
"25";"6";"310";"40.8015782678";"0.317506838935";
"25";"7";"180";"40.7999521823";"0.316792279245";
"25";"8";"110";"40.800123503";"0.318473890437";
"25";"9";"65";"40.8027480309";"0.320423442383";
"25";"11";"103";"40.8157727888";"0.350809981287";
"25";"12";"146";"40.8159124239";"0.351588131851";
"26";"1";"137";"41.2862146107";"1.87561922606";
"26";"2";"94";"41.2866425942";"1.87499721799";
"26";"5";"72";"41.2862598752";"1.87748613422";
"26";"6";"213";"41.2870283018";"1.87743063717";
"26";"7";"140";"41.288218994";"1.87751780345";
"26";"8";"142";"41.2886960477";"1.87838486624";
"27";"1";"128";"41.7352725775";"2.75130686298";
"27";"2";"114";"41.7342738456";"2.75101655343";
"27";"3";"83";"41.7337514503";"2.75228465203";
"27";"4";"203";"41.7341973389";"2.7536338467";
"27";"5";"224";"41.7324293622";"2.75389382663";
"27";"6";"106";"41.7317139284";"2.75281300191";
"27";"7";"333";"41.7309845589";"2.75059785639";
"27";"8";"126";"41.729466739";"2.74925110822";
"27";"9";"106";"41.7293774402";"2.74793699166";
"27";"10";"207";"41.7300555977";"2.74784275308";
"27";"11";"322";"41.7322480559";"2.74874556989";
"27";"12";"121";"41.7334188274";"2.75061675356";
"28";"1";"201";"41.7778579716";"2.32844227387";
"28";"2";"77";"41.7773300111";"2.32694352485";
"28";"3";"167";"41.7763947482";"2.32678636896";
"28";"4";"86";"41.7756923782";"2.32797254469";
"28";"5";"133";"41.7755460712";"2.32898749935";
"28";"6";"86";"41.7747055707";"2.32953452851";
"28";"7";"101";"41.7753988289";"2.32981729896";
"28";"8";"146";"41.7772181406";"2.32987955182";
"28";"9";"161";"41.7781855986";"2.33034344493";
"28";"10";"127";"41.7782313915";"2.32864673794";
"28";"11";"64";"41.7786826948";"2.32790123852";
"28";"12";"154";"41.7786538027";"2.32662206534";
"28";"13";"211";"41.7796133706";"2.32869260192";
"29";"1";"93";"41.6561805805";"2.32671081049";
"29";"2";"131";"41.6570196587";"2.32464587277";
"29";"3";"135";"41.6571537616";"2.3255683369";
"29";"4";"110";"41.6561047155";"2.32690511904";
"29";"5";"386";"41.6579208181";"2.32873378357";
"29";"6";"248";"41.6588353393";"2.3319466046";
"29";"7";"727";"41.6571374511";"2.33598891383";
"29";"8";"90";"41.6551229499";"2.332168116";
"29";"9";"110";"41.6546243648";"2.33118792255";
"30";"1";"270";"41.545731491";"0.979268460029";
"30";"2";"56";"41.5453179776";"0.981005755918";
"30";"3";"106";"41.5458228505";"0.981593378995";
"30";"4";"133";"41.546405273";"0.980625141365";
"30";"5";"165";"41.5475255776";"0.980067345464";
"30";"6";"102";"41.5482597797";"0.980707922687";
"30";"7";"131";"41.5484410352";"0.980799373479";
"31";"1";"76";"41.6115921375";"2.62419283992";
"31";"2";"532";"41.6137544268";"2.6219487295";
"31";"3";"193";"41.6144002411";"2.61884008945";
"31";"4";"263";"41.6130520246";"2.61745367105";
"31";"5";"186";"41.6114840687";"2.61689302734";
"31";"6";"152";"41.6122634194";"2.6176802446";
"31";"7";"122";"41.6146489999";"2.6171041188";
"31";"8";"164";"41.6143882103";"2.61795477018";
"31";"9";"312";"41.6162941972";"2.6190008289";
"32";"1";"356";"41.6769284964";"2.71109226994";
"32";"2";"132";"41.6758226931";"2.70877001403";
"32";"3";"305";"41.6744001828";"2.70713715512";
"32";"7";"178";"41.6740609389";"2.70960133089";
"32";"8";"657";"41.6746394915";"2.7081804283";
"32";"9";"173";"41.6763976763";"2.71218057933";
"32";"10";"102";"41.6769040276";"2.71346528499";
"32";"11";"73";"41.6776712871";"2.71377519261";
"32";"12";"157";"41.6779007472";"2.71299498077";
"33";"1";"71";"41.6198015238";"2.46187462231";
"33";"2";"108";"41.6191318755";"2.46199996895";
"33";"3";"83";"41.6179800755";"2.46278406497";
"33";"4";"49";"41.6191503635";"2.46281727101";
"33";"5";"87";"41.6189247013";"2.46348923216";
"33";"6";"102";"41.6188121825";"2.46445919767";
"33";"7";"204";"41.6187958575";"2.45983069626";
"33";"8";"63";"41.6190569124";"2.46005047002";
"33";"9";"79";"41.6186054908";"2.46102494928";
"34";"1";"141";"41.4755151691";"2.24278144231";
"34";"2";"71";"41.4760974498";"2.2418554288";
"34";"3";"73";"41.4761927427";"2.24118910873";
"34";"4";"262";"41.4770001696";"2.24025692981";
"34";"5";"105";"41.477724653";"2.24099520852";
"34";"6";"139";"41.476714737";"2.24114955279";
"35";"1";"155";"41.4867259959";"1.89930857345";
"35";"2";"115";"41.4863854827";"1.89805744666";
"35";"3";"403";"41.4862222859";"1.89539441842";
"35";"4";"109";"41.4866575478";"1.89366961037";
"35";"5";"104";"41.4874759416";"1.89315175823";
"35";"6";"284";"41.4893114894";"1.89024903201";
"35";"7";"168";"41.4899716853";"1.88931553657";
"35";"8";"95";"41.4890275112";"1.89008254845";
"35";"9";"234";"41.4869425649";"1.89201692122";
"36";"1";"404";"41.3288856587";"1.84270276628";
"36";"2";"193";"41.3272934009";"1.84490801791";
"36";"3";"56";"41.3265243891";"1.84586927836";
"36";"4";"493";"41.3276867954";"1.84210498101";
"36";"5";"306";"41.3267492406";"1.84117579363";
"37";"1";"44";"41.2204145195";"1.74639049445";
"37";"2";"111";"41.2215712683";"1.74792897246";
"37";"3";"190";"41.2228575695";"1.74957669343";
"37";"4";"60";"41.2233798104";"1.75078789431";
"37";"5";"54";"41.2233788822";"1.75141766731";
"37";"6";"134";"41.222698877";"1.75134783022";
"37";"7";"109";"41.2220391507";"1.75034531554";
"37";"8";"102";"41.2219193046";"1.74915243555";
"37";"9";"129";"41.2198647677";"1.74568101424";
"38";"1";"164";"41.1279985422";"1.32421099524";
"38";"2";"224";"41.1283688205";"1.32636005377";
"38";"3";"275";"41.1294492712";"1.33128153641";
"38";"4";"160";"41.1307496106";"1.33025807647";
"38";"5";"182";"41.1311636656";"1.33236747267";
"38";"6";"103";"41.1313286646";"1.33366469588";
"38";"7";"155";"41.1304766403";"1.3376895401";
"38";"8";"423";"41.1296431511";"1.33978991113";
"38";"9";"164";"41.128472016";"1.34167084943";
"39";"1";"193";"41.3282887043";"1.01700378056";
"39";"2";"48";"41.328573545";"1.01586304185";
"39";"3";"324";"41.3303159758";"1.01620133055";
"39";"4";"454";"41.3295233007";"1.01315965499";
"39";"5";"114";"41.3283604136";"1.010349881";
"39";"6";"378";"41.3269234541";"1.01146520698";
"39";"7";"124";"41.3259857999";"1.0136536657";
"39";"8";"223";"41.3271686172";"1.01482473045";
"40";"1";"203";"41.838418385";"1.9258785328";
"40";"2";"388";"41.837050646";"1.92749587375";
"40";"3";"185";"41.8346220812";"1.92596414339";
"40";"4";"202";"41.8345268423";"1.92423638415";
"40";"5";"211";"41.8338526911";"1.92292588109";
"40";"6";"381";"41.8352525292";"1.92438218897";
"41";"1";"199";"41.4924266757";"0.734116635975";
"41";"2";"444";"41.4929438737";"0.731011293886";
"41";"3";"169";"41.4909053924";"0.732331409081";
"41";"4";"162";"41.490002107";"0.733486111389";
"41";"5";"216";"41.4906784434";"0.735095661384";
"41";"6";"180";"41.4921667606";"0.734514212697";
"42";"1";"361";"42.0181712232";"1.88705150012";
"42";"2";"268";"42.0153826142";"1.88668951629";
"42";"3";"302";"42.0131644867";"1.88675246729";
"42";"4";"118";"42.014327494";"1.88739057373";
"42";"5";"256";"42.0149410238";"1.88885206727";
"42";"6";"117";"42.0183439877";"1.88944721142";
"42";"7";"63";"42.0191370093";"1.88964364612";
"42";"8";"197";"42.0202957973";"1.88976888208";
"943";"1";"160";"41.7932494535";"1.40847695506";
"943";"2";"106";"41.7930956947";"1.40707982486";
"943";"3";"66";"41.7929132871";"1.40653567504";
"943";"4";"37";"41.7924413615";"1.40664295749";
"943";"5";"95";"41.7921166074";"1.4072787536";
"943";"6";"55";"41.7919007171";"1.40809336335";
"943";"7";"98";"41.7918853088";"1.40891106363";
"943";"8";"102";"41.7930119186";"1.41037242008";
"943";"9";"130";"41.7925847024";"1.40905036584";
"44";"1";"80";"41.0392808499";"0.731614655958";
"44";"2";"389";"41.0377814582";"0.730792377014";
"44";"3";"62";"41.0365908156";"0.729614574734";
"44";"4";"235";"41.0358221676";"0.728287135631";
"44";"5";"347";"41.0356394567";"0.725845693688";
"44";"6";"167";"41.0336837648";"0.72428052239";
"44";"7";"140";"41.0339494849";"0.725240286747";
"45";"1";"219";"41.2842139877";"1.83696670264";
"45";"2";"142";"41.2847405116";"1.83560468874";
"45";"3";"130";"41.2851336152";"1.83430537844";
"45";"4";"88";"41.285756658";"1.83427489008";
"45";"5";"50";"41.2857456224";"1.83503927861";
"45";"6";"170";"41.2854267115";"1.83603620869";
"46";"1";"206";"41.1466037601";"1.41848062195";
"46";"2";"211";"41.1475057424";"1.42060336156";
